Title,Company,Reward,Link
[에어클래스] Kotlin/Spring Server Developer (3~5년차),큐리어슬리,합격보상금 100만원,https://www.wanted.co.kr//wd/94072
시니어 백엔드 개발자 (Java/Kotlin),패스트파이브,합격보상금 100만원,https://www.wanted.co.kr//wd/171819
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),합격보상금 100만원,https://www.wanted.co.kr//wd/205880
[400억↑투자] Mobile App 안드로이드 (Android Kotlin) 개발자,스카이랩스(SkyLabs),합격보상금 100만원,https://www.wanted.co.kr//wd/178642
"백엔드 개발자 (Java, Kotlin, MySQL, AWS)",아몬드컴퍼니,합격보상금 100만원,https://www.wanted.co.kr//wd/150034
[100억↑투자] Back-end Developer (Java/Kotlin),웨이브릿지,합격보상금 100만원,https://www.wanted.co.kr//wd/213950
[400억↑투자] Backend Kotlin Developer [5년 이상],크몽(kmong),합격보상금 100만원,https://www.wanted.co.kr//wd/197273
공비서 자바/코틀린 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr//wd/137441
[에어클래스] Kotlin/Spring Server Developer (3~5년차),큐리어슬리,합격보상금 100만원,https://www.wanted.co.kr//wd/94072
시니어 백엔드 개발자 (Java/Kotlin),패스트파이브,합격보상금 100만원,https://www.wanted.co.kr//wd/171819
[시크] Java / Kotlin 백엔드 개발자,팹(PAP),합격보상금 100만원,https://www.wanted.co.kr//wd/205880
[400억↑투자] Mobile App 안드로이드 (Android Kotlin) 개발자,스카이랩스(SkyLabs),합격보상금 100만원,https://www.wanted.co.kr//wd/178642
"백엔드 개발자 (Java, Kotlin, MySQL, AWS)",아몬드컴퍼니,합격보상금 100만원,https://www.wanted.co.kr//wd/150034
[100억↑투자] Back-end Developer (Java/Kotlin),웨이브릿지,합격보상금 100만원,https://www.wanted.co.kr//wd/213950
[400억↑투자] Backend Kotlin Developer [5년 이상],크몽(kmong),합격보상금 100만원,https://www.wanted.co.kr//wd/197273
공비서 자바/코틀린 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr//wd/137441
글로벌 해외송금 백엔드 개발자 (Java/Kotlin),센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr//wd/199109
Java/Kotlin 백엔드 서버 엔지니어,티비유,합격보상금 100만원,https://www.wanted.co.kr//wd/118264
"Kotlin, Django Backend Engineer(5년 이상)",폰디,합격보상금 100만원,https://www.wanted.co.kr//wd/216786
java/kotlin 시니어 개발,에스제이소프트,합격보상금 100만원,https://www.wanted.co.kr//wd/212445
웹 개발자 -  백엔드 Java/Kotlin (3년이상),고요에이아이,합격보상금 100만원,https://www.wanted.co.kr//wd/196645
[인텔리전스랩스] 추천팀 백엔드 개발자 (Java/Kotlin),넥슨코리아(NEXON),합격보상금 100만원,https://www.wanted.co.kr//wd/209654
"백엔드 개발자 (Kotlin/Spring, 3년차~15년차)",스팬딧(Spendit),합격보상금 100만원,https://www.wanted.co.kr//wd/100640
Java/Kotlin Backend Engineer (상품전시개발실),무신사,합격보상금 100만원,https://www.wanted.co.kr//wd/189781
Java/Kotlin Backend Engineer (구매개발실),무신사,합격보상금 100만원,https://www.wanted.co.kr//wd/188378
